"","condition","cycle","variant_type","log2fc.mean","log2fc.sd","obs.mut.mean","obs.mut.sd","obs.sim.diff.mean","obs.sim.diff.sd","obs.prop.total.mean"
"1","control",1,"synonymous",-0.376399334789131,0.184527653289603,1,0,-0.9414,0.36112143386955,0.000207008628931555
"2","control",1,"nonsynonymous",-0.255329937841652,0.416249267509211,4,1.73205080756888,-1.15973333333333,1.14254194379608,0.00285822950762262
"3","control",9,"synonymous",-0.596141927440593,0.494342357928078,0.5,0.547722557505166,-0.926716666666667,0.47160917470578,0.00115036119360075
"4","control",9,"nonsynonymous",0.0770495429303887,0.1742238159832,4.5,1.04880884817015,-0.105866666666667,0.650290017351233,0.00161003702017579
"5","enu",3,"synonymous",-0.270054228116748,0.398425878106156,7.66666666666667,2.88675134594813,-1.9578,2.55801804332964,0.000774019850665549
"6","enu",3,"nonsynonymous",-0.133610435205035,0.598330037229837,30.6666666666667,13.6503968196288,-0.985066666666668,10.3260963148391,0.00290504234965609
"7","enu",6,"synonymous",-0.195664733207163,0.396564885379386,18.3333333333333,8.14452781524708,-2.08336666666667,3.65125656498326,0.000544902573460571
"8","enu",6,"nonsynonymous",-0.306839824472629,0.120608649164471,55,10,-14.4758666666667,7.22379709663369,0.000856947542880036
"9","enu",9,"synonymous",0.0126727187048536,0.400856437073765,27.6666666666667,9.114091653405,-1.41228330482237,9.05031064339345,0.00064825047793071
"10","enu",9,"nonsynonymous",-0.319071446632681,0.167937633616801,80,35.2817233139199,-19.8621239874653,12.4719739252585,0.00097461146369512
